,,,,原系统对应名,整理过后名称,又名
FVREB,F10,N. Delta,F11,Annieville,Annieville,
FVREB,F10,N. Delta,F12,Nordel,Nordel,
FVREB,F10,N. Delta,F13,Scottsdale,Scottsdale,
FVREB,F10,N. Delta,F14,Sunshine Hills Woods,Sunshine Hills Woods,
FVREB,F20,North Surrey,F21,Bridgeview,Bridgeview,
FVREB,F20,North Surrey,F22,Bolivar Heights,Bolivar Heights,
FVREB,F20,North Surrey,F23,Fraser Heights,Fraser Heights,
FVREB,F20,North Surrey,F24,Royal Heights,Royal Heights,
FVREB,F20,North Surrey,F25,Cedar Hills,Cedar Hills,
FVREB,F20,North Surrey,F26,Whalley,Whalley,
FVREB,F20,North Surrey,F27,Guildford,Guildford,
FVREB,F20,North Surrey,F28,Port Kells,Port Kells,
FVREB,F30,Surrey,F31,Queen Mary Park Surrey,Queen Mary Park Surrey,
FVREB,F30,Surrey,F32,Bear Creek Green Timbers,Bear Creek Green Timbers,
FVREB,F30,Surrey,F34,Fleetwood Tynehead,Fleetwood Tynehead,
FVREB,F30,Surrey,F36,West Newton,West Newton,
FVREB,F30,Surrey,F37,East Newton,East Newton,
FVREB,F30,Surrey,F38,Panorama Ridge,Panorama Ridge,
FVREB,F30,Surrey,F39,Sullivan Station,Sullivan Station,
FVREB,F40,Cloverdale,F41,Cloverdale BC,Cloverdale BC,
FVREB,F40,Cloverdale,F42,Serpentine,Serpentine,
FVREB,F40,Cloverdale,F43,Clayton,Clayton,
FVREB,F50,South Surrey White Rock,F51,Elgin Chantrell,Elgin Chantrell,
FVREB,F50,South Surrey White Rock,F52,Sunnyside Park Surrey,Sunnyside Park Surrey,
FVREB,F50,South Surrey White Rock,F53,Crescent Bch Ocean Pk.,Crescent Bch Ocean Pk.,
FVREB,F50,South Surrey White Rock,F54,White Rock,White Rock,
FVREB,F50,South Surrey White Rock,F55,King George Corridor,King George Corridor,
FVREB,F50,South Surrey White Rock,F56,Hazelmere,Hazelmere,
FVREB,F50,South Surrey White Rock,F57,Grandview Surrey,Grandview Surrey,
FVREB,F50,South Surrey White Rock,F58,Morgan Creek,Morgan Creek,
FVREB,F50,South Surrey White Rock,F59,Pacific Douglas,Pacific Douglas,
FVREB,F60,Langley,F60,Murrayville,Murrayville,
FVREB,F60,Langley,F61,Walnut Grove,Walnut Grove,
FVREB,F60,Langley,F62,County Line Glen Valley,County Line Glen Valley,
FVREB,F60,Langley,F63,Willoughby Heights,Willoughby Heights,
FVREB,F60,Langley,F64,Salmon River,Salmon River,
FVREB,F60,Langley,F65,Brookswood Langley,Brookswood Langley,
FVREB,F60,Langley,F66,Aldergrove Langley,Aldergrove Langley,
FVREB,F60,Langley,F67,Campbell Valley,Campbell Valley,
FVREB,F60,Langley,F68,Otter District,Otter District,
FVREB,F60,Langley,F69,Fort Langley,Fort Langley,
FVREB,F60,Langley,F6A,Langley City,Langley City,
FVREB,F70,Abbotsford,F70,Poplar,Poplar,
FVREB,F70,Abbotsford,F71,Bradner,Bradner,
FVREB,F70,Abbotsford,F72,Matsqui,Matsqui,
FVREB,F70,Abbotsford,F73,Sumas Mountain,Sumas Mountain,
FVREB,F70,Abbotsford,F74,Abbotsford West,Abbotsford West,
FVREB,F70,Abbotsford,F75,Abbotsford East,Abbotsford East,
FVREB,F70,Abbotsford,F76,Aberdeen,Aberdeen,
FVREB,F70,Abbotsford,F77,Sumas Prairie,Sumas Prairie,
FVREB,F70,Abbotsford,F78,Central Abbotsford,Central Abbotsford,
FVREB,F80,Mission,F80,Hatzic,Hatzic,
FVREB,F80,Mission,F81,Stave Falls,Stave Falls,
FVREB,F80,Mission,F82,Steelhead,Steelhead,
FVREB,F80,Mission,F83,Mission BC,Mission,
FVREB,F80,Mission,F84,Durieu,Durieu,
FVREB,F80,Mission,F85,Dewdney Deroche,Dewdney Deroche,
FVREB,F80,Mission,F86,Lake Errock,Lake Errock,
FVREB,F80,Mission,F87,Hemlock,Hemlock,
FVREB,F80,Mission,F88,Mission-West,Mission-West,
,,,,,,
,,,,,,
,,,,,,
REBGV,VBD,Bowen Island,VBDBD,Bowen Island,Bowen Island,
REBGV,VBE,Burnaby East,VBEBE,East Burnaby,East Burnaby,
REBGV,VBE,Burnaby East,VBECR,The Crest,The Crest,
REBGV,VBE,Burnaby East,VBEED,Edmonds BE,Edmonds,
REBGV,VBN,Burnaby North,VBNBP,Brentwood Park,Brentwood Park,
REBGV,VBN,Burnaby North,VBNCA,Cariboo,Cariboo,
REBGV,VBN,Burnaby North,VBNCB,Central BN,Central,
REBGV,VBN,Burnaby North,VBNCH,Capitol Hill BN,Capitol Hill,
REBGV,VBN,Burnaby North,VBNFH,Forest Hills BN,Forest Hills,
REBGV,VBN,Burnaby North,VBNGR,Government Road,Government Road,
